CID,Type,Impact,First Detected,Owner,Classification,Severity,Action,Component,Category
448684,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448683,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448682,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448681,Expression with no effect,Medium,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression
448680,Unspecified software version,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448679,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448678,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448677,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448676,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448675,Unsafe evaluation function,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448674,Container allows filesystem write,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448673,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448672,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448671,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448670,JSON Web Token decoded without signature verification,High,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448669,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448668,Reverse tabnabbing,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448667,Unsafe output of data into innerHtml,High,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448665,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448664,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448663,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448662,Missing global exception handler,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448661,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
